id,overall_rank,score,GDP_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,perceptions_of_corruption,generosity,year_id,country_id
0,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,0,0
1,2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,1,0
2,4,7.49399995803833,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.367007285356522,0.290549278259277,2,0
3,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256,3,0
4,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263,4,0
5,3,7.559899806976318,1.3907742500305176,1.4724034070968628,1.040533185005188,0.6289544701576233,0.4079459011554718,0.2690557539463043,5,0
6,3,7.571499824523926,1.56589937210083,1.0794686079025269,0.8164148330688477,0.6534879207611084,0.413019061088562,0.20403996109962463,6,0
7,4,7.511600017547607,2.0259697437286377,1.2260738611221313,0.8220476508140564,0.6769469380378723,0.4610044062137604,0.14682170748710632,7,0
8,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,0,1
9,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,1,1
10,3,7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.153526559472084,0.475540220737457,2,1
11,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353,3,1
12,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354,4,1
13,4,7.504499912261963,1.3265016078948975,1.5475674867630005,1.0008434057235718,0.6619807481765747,0.14454077184200287,0.36233022809028625,5,1
14,4,7.553899765014648,1.4821898937225342,1.1722792387008667,0.7723187208175659,0.6977011561393738,0.16993995010852814,0.2925264239311218,6,1
15,3,7.557499885559082,1.9357264041900635,1.3199135065078735,0.802621603012085,0.7181944847106934,0.191204234957695,0.26961612701416016,7,1
16,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,0,2
17,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,1,2
18,2,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.40077006816864,0.355280488729477,2,2
19,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284,3,2
20,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,4,2
21,2,7.645599842071533,1.3269485235214233,1.5034492015838623,0.9793325662612915,0.6650398969650269,0.4952603280544281,0.24279339611530304,5,2
22,2,7.619500160217285,1.5015480518341064,1.1080076694488525,0.7628624439239502,0.6861603260040283,0.4849926829338074,0.20761457085609436,6,2
23,2,7.636199951171875,1.9525948762893677,1.2426812648773193,0.7766435146331787,0.7189184427261353,0.5320789217948914,0.1876257061958313,7,2
24,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,0,3
25,4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,1,3
26,1,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.315963834524155,0.36201223731041,2,3
27,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286,3,3
28,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271,4,3
29,5,7.48799991607666,1.424207329750061,1.4951725006103516,1.0080718994140625,0.6702008843421936,0.43410056829452515,0.28798508644104004,5,3
30,6,7.392499923706055,1.5434552431106567,1.1080878973007202,0.7817675471305847,0.7031350135803223,0.4268389642238617,0.2489185482263565,6,3
31,8,7.365099906921387,1.9971911907196045,1.239048719406128,0.7860307097434998,0.7276478409767151,0.47399914264678955,0.21664024889469147,7,3
32,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,0,21
33,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,1,21
34,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,2,21
35,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,3,21
36,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,4,21
37,11,7.232100009918213,1.301647663116455,1.435391902923584,1.0225019454956055,0.6440281271934509,0.35170185565948486,0.28152891993522644,5,21
38,14,7.103300094604492,1.4466791152954102,1.044359564781189,0.7975085377693176,0.6484853029251099,0.33458682894706726,0.24622412025928497,6,21
39,15,7.025100231170654,1.8864532709121704,1.18776273727417,0.7831433415412903,0.658886194229126,0.3682062327861786,0.21696539223194122,7,21
40,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,0,4
41,5,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,1,4
